reg_no,student_name,class,term,attendance,subject,marks
D12-014,Rhea Thomas,12,1,82.0,chemistry,72.0
D12-014,Rhea Thomas,12,2,86.0,chemistry,76.0
D12-039,Armaan Desai,12,1,,chemistry,34.0
D12-039,Armaan Desai,12,2,50.0,chemistry,41.0
D12-006,Mehul Jain,12,1,96.0,chemistry,92.0
D12-006,Mehul Jain,12,2,98.0,chemistry,95.0
D12-021,Naina Kapoor,12,1,85.0,chemistry,78.0
D12-021,Naina Kapoor,12,2,89.0,chemistry,82.0
D12-030,Vihaan Chatterjee,12,1,74.0,chemistry,57.0
D12-030,Vihaan Chatterjee,12,2,79.0,chemistry,62.0
D12-018,Anaya Pillai,12,1,87.0,chemistry,81.0
D12-018,Anaya Pillai,12,2,93.0,chemistry,85.0
D12-001,Rudra Nair,12,1,73.0,chemistry,56.0
D12-001,Rudra Nair,12,2,78.0,chemistry,61.0
D12-034,Ira Sood,12,1,94.0,chemistry,88.0
D12-034,Ira Sood,12,2,97.0,chemistry,91.0
D12-015,Aarav Mallick,12,1,65.0,chemistry,47.0
D12-015,Aarav Mallick,12,2,70.0,chemistry,52.0
D12-024,Shruti Bose,12,1,88.0,chemistry,79.0
D12-024,Shruti Bose,12,2,92.0,chemistry,83.0
C12-101,Arya Kulkarni,12A,1,88.0,chemistry,79.0
C12-101,Arya Kulkarni,12A,2,92.0,chemistry,83.0
C12-102,Rohan Mehta,12A,1,74.0,chemistry,57.0
C12-102,Rohan Mehta,12A,2,79.0,chemistry,62.0
C12-103,Saanvi Iyer,12A,1,84.0,chemistry,72.0
C12-103,Saanvi Iyer,12A,2,89.0,chemistry,77.0
C12-104,Arnav Khanna,12A,1,,chemistry,38.0
C12-104,Arnav Khanna,12A,2,58.0,chemistry,46.0
C12-105,Diya Narang,12A,1,95.0,chemistry,89.0
C12-105,Diya Narang,12A,2,98.0,chemistry,93.0
C12-106,Kabir Sinha,12A,1,67.0,chemistry,50.0
C12-106,Kabir Sinha,12A,2,72.0,chemistry,55.0
C12-107,Ishika Rao,12A,1,81.0,chemistry,75.0
C12-107,Ishika Rao,12A,2,85.0,chemistry,79.0
C12-108,Devansh Nair,12A,1,76.0,chemistry,65.0
C12-108,Devansh Nair,12A,2,82.0,chemistry,69.0
C12-109,Anika Sharma,12A,1,47.0,chemistry,35.0
C12-109,Anika Sharma,12A,2,55.0,chemistry,42.0
C12-110,Yashvardhan Patel,12A,1,90.0,chemistry,83.0
C12-110,Yashvardhan Patel,12A,2,93.0,chemistry,87.0
C12-111,Riya Kapoor,12A,1,73.0,chemistry,59.0
C12-111,Riya Kapoor,12A,2,78.0,chemistry,64.0
C12-112,Aarush Deshmukh,12A,1,87.0,chemistry,76.0
C12-112,Aarush Deshmukh,12A,2,91.0,chemistry,80.0
D12-101,Meera Sethi,12,1,84.0,chemistry,71.0
D12-101,Meera Sethi,12,2,88.0,chemistry,75.0
D12-102,Vihaan Kulkarni,12,1,69.0,chemistry,53.0
D12-102,Vihaan Kulkarni,12,2,74.0,chemistry,58.0
D12-103,Anaya Malhotra,12,1,92.0,chemistry,85.0
D12-103,Anaya Malhotra,12,2,96.0,chemistry,89.0
D12-104,Rudransh Iyer,12,1,,chemistry,34.0
D12-104,Rudransh Iyer,12,2,54.0,chemistry,41.0
D12-105,Kiara Bose,12,1,78.0,chemistry,67.0
D12-105,Kiara Bose,12,2,83.0,chemistry,71.0
D12-106,Advik Menon,12,1,86.0,chemistry,73.0
D12-106,Advik Menon,12,2,90.0,chemistry,77.0
D12-107,Tara Bhattacharya,12,1,95.0,chemistry,92.0
D12-107,Tara Bhattacharya,12,2,98.0,chemistry,95.0
D12-108,Samar Kapoor,12,1,66.0,chemistry,48.0
D12-108,Samar Kapoor,12,2,71.0,chemistry,53.0
C12-113,Shivam Bhatia,12A,1,86.0,chemistry,78.0
C12-113,Shivam Bhatia,12A,2,90.0,chemistry,82.0
C12-114,Anvi Nair,12A,1,73.0,chemistry,57.0
C12-114,Anvi Nair,12A,2,78.0,chemistry,62.0
C12-115,Karan Sethi,12A,1,83.0,chemistry,71.0
C12-115,Karan Sethi,12A,2,88.0,chemistry,76.0
C12-116,Priyanka Menon,12A,1,,chemistry,37.0
C12-116,Priyanka Menon,12A,2,56.0,chemistry,44.0
C12-117,Aditya Kulkarni,12A,1,94.0,chemistry,88.0
C12-117,Aditya Kulkarni,12A,2,97.0,chemistry,92.0
C12-118,Myra Kapoor,12A,1,69.0,chemistry,51.0
C12-118,Myra Kapoor,12A,2,74.0,chemistry,56.0
C12-119,Rehan Thomas,12A,1,82.0,chemistry,73.0
C12-119,Rehan Thomas,12A,2,87.0,chemistry,78.0
C12-120,Ishaan Ghosh,12A,1,76.0,chemistry,65.0
C12-120,Ishaan Ghosh,12A,2,83.0,chemistry,70.0
C12-121,Sanya Deshmukh,12A,1,48.0,chemistry,35.0
C12-121,Sanya Deshmukh,12A,2,55.0,chemistry,42.0
C12-122,Aarav Pillai,12A,1,91.0,chemistry,83.0
C12-122,Aarav Pillai,12A,2,95.0,chemistry,87.0
C12-123,Kiara Malhotra,12A,1,88.0,chemistry,80.0
C12-123,Kiara Malhotra,12A,2,92.0,chemistry,84.0
C12-124,Rudra Iyer,12A,1,72.0,chemistry,57.0
C12-124,Rudra Iyer,12A,2,78.0,chemistry,62.0
C12-125,Tanisha Roy,12A,1,96.0,chemistry,90.0
C12-125,Tanisha Roy,12A,2,99.0,chemistry,94.0
C12-126,Dev Sharma,12A,1,84.0,chemistry,75.0
C12-126,Dev Sharma,12A,2,89.0,chemistry,80.0
C12-127,Aditi Bansal,12A,1,67.0,chemistry,50.0
C12-127,Aditi Bansal,12A,2,72.0,chemistry,55.0
C12-128,Yuvika Jain,12A,1,93.0,chemistry,87.0
C12-128,Yuvika Jain,12A,2,97.0,chemistry,91.0
D12-109,Arnav Bhalla,12,1,79.0,chemistry,69.0
D12-109,Arnav Bhalla,12,2,84.0,chemistry,74.0
D12-110,Rhea Kapoor,12,1,74.0,chemistry,58.0
D12-110,Rhea Kapoor,12,2,79.0,chemistry,63.0
D12-111,Vihaan Reddy,12,1,90.0,chemistry,83.0
D12-111,Vihaan Reddy,12,2,94.0,chemistry,87.0
D12-112,Ananya Sood,12,1,,chemistry,36.0
D12-112,Ananya Sood,12,2,58.0,chemistry,43.0
D12-113,Rohan Mallick,12,1,82.0,chemistry,73.0
D12-113,Rohan Mallick,12,2,87.0,chemistry,78.0
D12-114,Meera Pillai,12,1,85.0,chemistry,75.0
D12-114,Meera Pillai,12,2,91.0,chemistry,80.0
D12-115,Samar Jain,12,1,68.0,chemistry,52.0
D12-115,Samar Jain,12,2,73.0,chemistry,57.0
D12-116,Kiara Nair,12,1,95.0,chemistry,89.0
D12-116,Kiara Nair,12,2,98.0,chemistry,93.0
A12-201,Rohit Mehra,12A,1,84.0,chemistry,75.0
A12-201,Rohit Mehra,12A,2,89.0,chemistry,80.0
A12-202,Ananya Kulkarni,12A,1,76.0,chemistry,65.0
A12-202,Ananya Kulkarni,12A,2,82.0,chemistry,70.0
A12-203,Kabir Nair,12A,1,83.0,chemistry,71.0
A12-203,Kabir Nair,12A,2,88.0,chemistry,76.0
A12-204,Diya Sethi,12A,1,,chemistry,38.0
A12-204,Diya Sethi,12A,2,58.0,chemistry,46.0
A12-205,Arjun Deshmukh,12A,1,91.0,chemistry,83.0
A12-205,Arjun Deshmukh,12A,2,95.0,chemistry,87.0
A12-206,Myra Iyer,12A,1,69.0,chemistry,51.0
A12-206,Myra Iyer,12A,2,74.0,chemistry,56.0
A12-207,Yash Kapoor,12A,1,82.0,chemistry,73.0
A12-207,Yash Kapoor,12A,2,87.0,chemistry,78.0
A12-208,Saanvi Reddy,12A,1,96.0,chemistry,90.0
A12-208,Saanvi Reddy,12A,2,99.0,chemistry,94.0
A12-209,Dev Malhotra,12A,1,67.0,chemistry,50.0
A12-209,Dev Malhotra,12A,2,72.0,chemistry,55.0
A12-210,Riya Sharma,12A,1,88.0,chemistry,80.0
A12-210,Riya Sharma,12A,2,92.0,chemistry,84.0
A12-211,Aarav Menon,12A,1,74.0,chemistry,57.0
A12-211,Aarav Menon,12A,2,79.0,chemistry,62.0
A12-212,Tanvi Kapoor,12A,1,93.0,chemistry,87.0
A12-212,Tanvi Kapoor,12A,2,97.0,chemistry,91.0
B12-201,Ira Nair,12,1,85.0,chemistry,78.0
B12-201,Ira Nair,12,2,90.0,chemistry,83.0
B12-202,Rudra Mehta,12,1,73.0,chemistry,56.0
B12-202,Rudra Mehta,12,2,78.0,chemistry,61.0
B12-203,Sneha Pillai,12,1,94.0,chemistry,88.0
B12-203,Sneha Pillai,12,2,97.0,chemistry,91.0
B12-204,Vihaan Khanna,12,1,68.0,chemistry,52.0
B12-204,Vihaan Khanna,12,2,73.0,chemistry,57.0
B12-205,Anika Bose,12,1,,chemistry,35.0
B12-205,Anika Bose,12,2,55.0,chemistry,42.0
B12-206,Kunal Jain,12,1,81.0,chemistry,73.0
B12-206,Kunal Jain,12,2,86.0,chemistry,78.0
B12-207,Meera Rao,12,1,87.0,chemistry,75.0
B12-207,Meera Rao,12,2,91.0,chemistry,80.0
B12-208,Samar Desai,12,1,95.0,chemistry,89.0
B12-208,Samar Desai,12,2,98.0,chemistry,93.0
A12-001,Rahul Sharma,12A,1,87.0,english,69.0
A12-001,Rahul Sharma,12A,2,91.0,english,73.0
A12-001,Rahul Sharma,12A,3,93.0,english,75.0
A12-002,Priya Iyer,12A,1,76.0,english,70.0
A12-002,Priya Iyer,12A,2,82.0,english,74.0
A12-002,Priya Iyer,12A,3,84.0,english,77.0
A12-003,Aman Verma,12A,1,,english,35.0
A12-003,Aman Verma,12A,2,58.0,english,39.0
A12-003,Aman Verma,12A,3,63.0,english,42.0
A12-004,Neha Kapoor,12A,1,,english,88.0
A12-004,Neha Kapoor,12A,2,97.0,english,90.0
A12-004,Neha Kapoor,12A,3,98.0,english,93.0
A12-005,Arjun Nair,12A,1,72.0,english,62.0
A12-005,Arjun Nair,12A,2,75.0,english,66.0
A12-005,Arjun Nair,12A,3,79.0,english,69.0
A12-006,Sanya Mehta,12A,1,46.0,english,40.0
A12-006,Sanya Mehta,12A,2,55.0,english,45.0
A12-006,Sanya Mehta,12A,3,62.0,english,49.0
A12-007,Rohit Kulkarni,12A,1,89.0,english,78.0
A12-007,Rohit Kulkarni,12A,2,91.0,english,81.0
A12-007,Rohit Kulkarni,12A,3,95.0,english,85.0
A12-008,Ishita Singh,12A,1,,english,76.0
A12-008,Ishita Singh,12A,2,83.0,english,80.0
A12-008,Ishita Singh,12A,3,86.0,english,84.0
A12-009,Varun Patel,12A,1,68.0,english,58.0
A12-009,Varun Patel,12A,2,72.0,english,62.0
A12-009,Varun Patel,12A,3,77.0,english,65.0
A12-010,Ananya Reddy,12A,1,95.0,english,85.0
A12-010,Ananya Reddy,12A,2,97.0,english,88.0
A12-010,Ananya Reddy,12A,3,99.0,english,91.0
A12-011,Kunal Deshmukh,12A,1,74.0,english,68.0
A12-011,Kunal Deshmukh,12A,2,78.0,english,72.0
A12-011,Kunal Deshmukh,12A,3,82.0,english,76.0
A12-012,Simran Kaur,12A,1,91.0,english,90.0
A12-012,Simran Kaur,12A,2,94.0,english,93.0
A12-012,Simran Kaur,12A,3,97.0,english,96.0
A12-013,Harsh Vardhan,12A,1,61.0,english,50.0
A12-013,Harsh Vardhan,12A,2,67.0,english,54.0
A12-013,Harsh Vardhan,12A,3,73.0,english,58.0
A12-014,Divya Nambiar,12A,1,88.0,english,84.0
A12-014,Divya Nambiar,12A,2,92.0,english,88.0
A12-014,Divya Nambiar,12A,3,95.0,english,92.0
A12-015,Rajat Sinha,12A,1,,english,33.0
A12-015,Rajat Sinha,12A,2,52.0,english,38.0
A12-015,Rajat Sinha,12A,3,60.0,english,43.0
A12-016,Pooja Menon,12A,1,84.0,english,78.0
A12-016,Pooja Menon,12A,2,87.0,english,82.0
A12-016,Pooja Menon,12A,3,90.0,english,86.0
A12-017,Sachin Pillai,12A,1,69.0,english,61.0
A12-017,Sachin Pillai,12A,2,73.0,english,65.0
A12-017,Sachin Pillai,12A,3,78.0,english,69.0
A12-018,Aditi Kulshreshtha,12A,1,96.0,english,97.0
A12-018,Aditi Kulshreshtha,12A,2,98.0,english,99.0
A12-018,Aditi Kulshreshtha,12A,3,100.0,english,100.0
A12-019,Nikhil Bansal,12A,1,77.0,english,73.0
A12-019,Nikhil Bansal,12A,2,81.0,english,77.0
A12-019,Nikhil Bansal,12A,3,85.0,english,81.0
A12-020,Megha Agarwal,12A,1,88.0,english,87.0
A12-020,Megha Agarwal,12A,2,91.0,english,90.0
A12-020,Megha Agarwal,12A,3,94.0,english,93.0
A12-034,Devansh Rao,12A,1,79.0,english,76.0
A12-034,Devansh Rao,12A,2,83.0,english,80.0
A12-034,Devansh Rao,12A,3,87.0,english,84.0
A12-021,Riya Mukherjee,12A,1,90.0,english,89.0
A12-021,Riya Mukherjee,12A,2,93.0,english,93.0
A12-021,Riya Mukherjee,12A,3,96.0,english,96.0
A12-047,Adarsh Shetty,12A,1,67.0,english,56.0
A12-047,Adarsh Shetty,12A,2,71.0,english,61.0
A12-047,Adarsh Shetty,12A,3,76.0,english,66.0
A12-026,Kavya Ramesh,12A,1,82.0,english,79.0
A12-026,Kavya Ramesh,12A,2,86.0,english,83.0
A12-026,Kavya Ramesh,12A,3,89.0,english,87.0
A12-052,Raghav Bhatia,12A,1,,english,34.0
A12-052,Raghav Bhatia,12A,2,54.0,english,40.0
A12-052,Raghav Bhatia,12A,3,61.0,english,46.0
A12-029,Trisha Pillai,12A,1,88.0,english,90.0
A12-029,Trisha Pillai,12A,2,92.0,english,94.0
A12-029,Trisha Pillai,12A,3,95.0,english,97.0
A12-041,Sarthak Khanna,12A,1,73.0,english,69.0
A12-041,Sarthak Khanna,12A,2,77.0,english,73.0
A12-041,Sarthak Khanna,12A,3,82.0,english,77.0
A12-058,Naina Chatterjee,12A,1,94.0,english,95.0
A12-058,Naina Chatterjee,12A,2,97.0,english,98.0
A12-058,Naina Chatterjee,12A,3,99.0,english,100.0
A12-023,Manav Arora,12A,1,81.0,english,82.0
A12-023,Manav Arora,12A,2,85.0,english,86.0
A12-023,Manav Arora,12A,3,89.0,english,90.0
A12-055,Shreya Iqbal,12A,1,92.0,english,93.0
A12-055,Shreya Iqbal,12A,2,95.0,english,96.0
A12-055,Shreya Iqbal,12A,3,98.0,english,99.0
A12-031,Arnav Tiwari,12A,1,69.0,english,60.0
A12-031,Arnav Tiwari,12A,2,73.0,english,64.0
A12-031,Arnav Tiwari,12A,3,78.0,english,69.0
A12-044,Ira Menon,12A,1,87.0,english,83.0
A12-044,Ira Menon,12A,2,90.0,english,87.0
A12-044,Ira Menon,12A,3,94.0,english,91.0
A12-060,Alisha Fernandes,12A,1,88.0,english,89.0
A12-060,Alisha Fernandes,12A,2,91.0,english,92.0
A12-060,Alisha Fernandes,12A,3,95.0,english,96.0
A12-037,Keshav Naidu,12A,1,74.0,english,68.0
A12-037,Keshav Naidu,12A,2,78.0,english,72.0
A12-037,Keshav Naidu,12A,3,82.0,english,76.0
A12-049,Sneha Bhat,12A,1,96.0,english,97.0
A12-049,Sneha Bhat,12A,2,98.0,english,99.0
A12-049,Sneha Bhat,12A,3,100.0,english,100.0
A12-028,Pranav Kulshreshtha,12A,1,66.0,english,54.0
A12-028,Pranav Kulshreshtha,12A,2,71.0,english,59.0
A12-028,Pranav Kulshreshtha,12A,3,76.0,english,64.0
A12-053,Diya Narayanan,12A,1,89.0,english,90.0
A12-053,Diya Narayanan,12A,2,93.0,english,94.0
A12-053,Diya Narayanan,12A,3,96.0,english,97.0
B12-014,Arjun Khurana,12,1,82.0,english,80.0
B12-014,Arjun Khurana,12,2,86.0,english,84.0
B12-014,Arjun Khurana,12,3,90.0,english,88.0
B12-003,Megha Sood,12,1,91.0,english,90.0
B12-003,Megha Sood,12,2,94.0,english,94.0
B12-003,Megha Sood,12,3,97.0,english,97.0
B12-027,Kunal Mahajan,12,1,67.0,english,58.0
B12-027,Kunal Mahajan,12,2,72.0,english,63.0
B12-027,Kunal Mahajan,12,3,77.0,english,68.0
B12-011,Riya Saxena,12,1,83.0,english,79.0
B12-011,Riya Saxena,12,2,88.0,english,84.0
B12-011,Riya Saxena,12,3,92.0,english,89.0
B12-039,Aman Thakur,12,1,,english,33.0
B12-039,Aman Thakur,12,2,50.0,english,39.0
B12-039,Aman Thakur,12,3,58.0,english,45.0
B12-021,Nisha Kulkarni,12,1,85.0,english,86.0
B12-021,Nisha Kulkarni,12,2,89.0,english,90.0
B12-021,Nisha Kulkarni,12,3,93.0,english,94.0
B12-035,Harshit Anand,12,1,74.0,english,66.0
B12-035,Harshit Anand,12,2,79.0,english,71.0
B12-035,Harshit Anand,12,3,84.0,english,76.0
B12-006,Sanya Roy,12,1,96.0,english,95.0
B12-006,Sanya Roy,12,2,98.0,english,98.0
B12-006,Sanya Roy,12,3,100.0,english,100.0
B12-018,Dev Mehra,12,1,70.0,english,61.0
B12-018,Dev Mehra,12,2,75.0,english,66.0
B12-018,Dev Mehra,12,3,80.0,english,71.0
B12-032,Tanisha Ghosh,12,1,88.0,english,87.0
B12-032,Tanisha Ghosh,12,2,92.0,english,91.0
B12-032,Tanisha Ghosh,12,3,95.0,english,94.0
B12-009,Rohan Pillai,12,1,65.0,english,55.0
B12-009,Rohan Pillai,12,2,70.0,english,60.0
B12-009,Rohan Pillai,12,3,76.0,english,66.0
B12-024,Ishani Desai,12,1,89.0,english,89.0
B12-024,Ishani Desai,12,2,93.0,english,93.0
B12-024,Ishani Desai,12,3,97.0,english,97.0
B12-001,Karthik Iyer,12,1,73.0,english,64.0
B12-001,Karthik Iyer,12,2,78.0,english,69.0
B12-001,Karthik Iyer,12,3,83.0,english,74.0
B12-030,Meera Venkatesh,12,1,94.0,english,95.0
B12-030,Meera Venkatesh,12,2,97.0,english,98.0
B12-030,Meera Venkatesh,12,3,100.0,english,100.0
B12-015,Aryan Bhalla,12,1,,english,36.0
B12-015,Aryan Bhalla,12,2,55.0,english,42.0
B12-015,Aryan Bhalla,12,3,62.0,english,48.0
B12-038,Diya Shah,12,1,87.0,english,86.0
B12-038,Diya Shah,12,2,91.0,english,90.0
B12-038,Diya Shah,12,3,94.0,english,94.0
B12-020,Vivaan Sethi,12,1,68.0,english,58.0
B12-020,Vivaan Sethi,12,2,73.0,english,63.0
B12-020,Vivaan Sethi,12,3,79.0,english,69.0
B12-034,Shruti Nair,12,1,90.0,english,91.0
B12-034,Shruti Nair,12,2,94.0,english,95.0
B12-034,Shruti Nair,12,3,98.0,english,99.0
C12-014,Aryan Joshi,12A,1,87.0,english,69.0
C12-014,Aryan Joshi,12A,2,91.0,english,73.0
C12-032,Shravya Nair,12A,1,76.0,english,70.0
C12-032,Shravya Nair,12A,2,82.0,english,74.0
C12-007,Rohan Choudhary,12A,1,,english,35.0
C12-007,Rohan Choudhary,12A,2,58.0,english,39.0
C12-051,Megha Pillai,12A,1,,english,88.0
C12-051,Megha Pillai,12A,2,97.0,english,90.0
C12-026,Harshit Rao,12A,1,72.0,english,62.0
C12-026,Harshit Rao,12A,2,75.0,english,66.0
C12-043,Anika Bhardwaj,12A,1,46.0,english,40.0
C12-043,Anika Bhardwaj,12A,2,55.0,english,45.0
C12-019,Dev Sharma,12A,1,89.0,english,78.0
C12-019,Dev Sharma,12A,2,91.0,english,81.0
C12-058,Ishani Kapoor,12A,1,,english,76.0
C12-058,Ishani Kapoor,12A,2,83.0,english,80.0
C12-003,Kunal Reddy,12A,1,68.0,english,58.0
C12-003,Kunal Reddy,12A,2,72.0,english,62.0
C12-039,Ritika Iyer,12A,1,95.0,english,85.0
C12-039,Ritika Iyer,12A,2,97.0,english,88.0
C12-061,Pranav Malhotra,12A,1,84.0,english,40.0
C12-061,Pranav Malhotra,12A,2,88.0,english,85.0
C12-022,Aditi Bansal,12A,1,82.0,english,72.0
C12-022,Aditi Bansal,12A,2,91.0,english,76.0
C12-047,Kartik Menon,12A,1,,english,34.0
C12-047,Kartik Menon,12A,2,52.0,english,41.0
C12-075,Diya Mukherjee,12A,1,93.0,english,90.0
C12-075,Diya Mukherjee,12A,2,96.0,english,94.0
C12-018,Yuvraj Kapoor,12A,1,67.0,english,58.0
C12-018,Yuvraj Kapoor,12A,2,71.0,english,63.0
C12-083,Anushka Sethi,12A,1,78.0,english,84.0
C12-083,Anushka Sethi,12A,2,83.0,english,88.0
C12-010,Harshita Rao,12A,1,100.0,english,100.0
C12-064,Reyansh Iqbal,12A,1,74.0,english,64.0
C12-064,Reyansh Iqbal,12A,2,79.0,english,69.0
C12-035,Sneha Vardhan,12A,1,45.0,english,32.0
C12-035,Sneha Vardhan,12A,2,55.0,english,42.0
C12-092,Aditya Prakash,12A,1,89.0,english,78.0
C12-092,Aditya Prakash,12A,2,92.0,english,81.0
D12-014,Rhea Thomas,12,1,82.0,english,80.0
D12-014,Rhea Thomas,12,2,86.0,english,84.0
D12-039,Armaan Desai,12,1,,english,33.0
D12-039,Armaan Desai,12,2,50.0,english,39.0
D12-006,Mehul Jain,12,1,96.0,english,95.0
D12-006,Mehul Jain,12,2,98.0,english,98.0
D12-021,Naina Kapoor,12,1,85.0,english,86.0
D12-021,Naina Kapoor,12,2,89.0,english,90.0
D12-030,Vihaan Chatterjee,12,1,74.0,english,66.0
D12-030,Vihaan Chatterjee,12,2,79.0,english,71.0
D12-018,Anaya Pillai,12,1,87.0,english,89.0
D12-018,Anaya Pillai,12,2,93.0,english,93.0
D12-001,Rudra Nair,12,1,73.0,english,64.0
D12-001,Rudra Nair,12,2,78.0,english,69.0
D12-034,Ira Sood,12,1,94.0,english,95.0
D12-034,Ira Sood,12,2,97.0,english,98.0
D12-015,Aarav Mallick,12,1,65.0,english,55.0
D12-015,Aarav Mallick,12,2,70.0,english,60.0
D12-024,Shruti Bose,12,1,88.0,english,87.0
D12-024,Shruti Bose,12,2,92.0,english,91.0
C12-101,Arya Kulkarni,12A,1,88.0,english,87.0
C12-101,Arya Kulkarni,12A,2,92.0,english,91.0
C12-102,Rohan Mehta,12A,1,74.0,english,66.0
C12-102,Rohan Mehta,12A,2,79.0,english,71.0
C12-103,Saanvi Iyer,12A,1,84.0,english,80.0
C12-103,Saanvi Iyer,12A,2,89.0,english,85.0
C12-104,Arnav Khanna,12A,1,,english,36.0
C12-104,Arnav Khanna,12A,2,58.0,english,44.0
C12-105,Diya Narang,12A,1,95.0,english,94.0
C12-105,Diya Narang,12A,2,98.0,english,99.0
C12-106,Kabir Sinha,12A,1,67.0,english,58.0
C12-106,Kabir Sinha,12A,2,72.0,english,63.0
C12-107,Ishika Rao,12A,1,81.0,english,83.0
C12-107,Ishika Rao,12A,2,85.0,english,87.0
C12-108,Devansh Nair,12A,1,76.0,english,73.0
C12-108,Devansh Nair,12A,2,82.0,english,77.0
C12-109,Anika Sharma,12A,1,47.0,english,40.0
C12-109,Anika Sharma,12A,2,55.0,english,47.0
C12-110,Yashvardhan Patel,12A,1,90.0,english,89.0
C12-110,Yashvardhan Patel,12A,2,93.0,english,94.0
C12-111,Riya Kapoor,12A,1,73.0,english,67.0
C12-111,Riya Kapoor,12A,2,78.0,english,72.0
C12-112,Aarush Deshmukh,12A,1,87.0,english,84.0
C12-112,Aarush Deshmukh,12A,2,91.0,english,88.0
D12-101,Meera Sethi,12,1,84.0,english,79.0
D12-101,Meera Sethi,12,2,88.0,english,83.0
D12-102,Vihaan Kulkarni,12,1,69.0,english,61.0
D12-102,Vihaan Kulkarni,12,2,74.0,english,66.0
D12-103,Anaya Malhotra,12,1,92.0,english,93.0
D12-103,Anaya Malhotra,12,2,96.0,english,97.0
D12-104,Rudransh Iyer,12,1,,english,32.0
D12-104,Rudransh Iyer,12,2,54.0,english,39.0
D12-105,Kiara Bose,12,1,78.0,english,75.0
D12-105,Kiara Bose,12,2,83.0,english,79.0
D12-106,Advik Menon,12,1,86.0,english,81.0
D12-106,Advik Menon,12,2,90.0,english,85.0
D12-107,Tara Bhattacharya,12,1,95.0,english,96.0
D12-107,Tara Bhattacharya,12,2,98.0,english,99.0
D12-108,Samar Kapoor,12,1,66.0,english,56.0
D12-108,Samar Kapoor,12,2,71.0,english,61.0
C12-113,Shivam Bhatia,12A,1,86.0,english,87.0
C12-113,Shivam Bhatia,12A,2,90.0,english,91.0
C12-114,Anvi Nair,12A,1,73.0,english,65.0
C12-114,Anvi Nair,12A,2,78.0,english,70.0
C12-115,Karan Sethi,12A,1,83.0,english,79.0
C12-115,Karan Sethi,12A,2,88.0,english,84.0
C12-116,Priyanka Menon,12A,1,,english,35.0
C12-116,Priyanka Menon,12A,2,56.0,english,42.0
C12-117,Aditya Kulkarni,12A,1,94.0,english,95.0
C12-117,Aditya Kulkarni,12A,2,97.0,english,99.0
C12-118,Myra Kapoor,12A,1,69.0,english,59.0
C12-118,Myra Kapoor,12A,2,74.0,english,64.0
C12-119,Rehan Thomas,12A,1,82.0,english,82.0
C12-119,Rehan Thomas,12A,2,87.0,english,87.0
C12-120,Ishaan Ghosh,12A,1,76.0,english,73.0
C12-120,Ishaan Ghosh,12A,2,83.0,english,78.0
C12-121,Sanya Deshmukh,12A,1,48.0,english,40.0
C12-121,Sanya Deshmukh,12A,2,55.0,english,47.0
C12-122,Aarav Pillai,12A,1,91.0,english,91.0
C12-122,Aarav Pillai,12A,2,95.0,english,95.0
C12-123,Kiara Malhotra,12A,1,88.0,english,88.0
C12-123,Kiara Malhotra,12A,2,92.0,english,92.0
C12-124,Rudra Iyer,12A,1,72.0,english,66.0
C12-124,Rudra Iyer,12A,2,78.0,english,71.0
C12-125,Tanisha Roy,12A,1,96.0,english,97.0
C12-125,Tanisha Roy,12A,2,99.0,english,100.0
C12-126,Dev Sharma,12A,1,84.0,english,83.0
C12-126,Dev Sharma,12A,2,89.0,english,88.0
C12-127,Aditi Bansal,12A,1,67.0,english,58.0
C12-127,Aditi Bansal,12A,2,72.0,english,63.0
C12-128,Yuvika Jain,12A,1,93.0,english,94.0
C12-128,Yuvika Jain,12A,2,97.0,english,98.0
D12-109,Arnav Bhalla,12,1,79.0,english,76.0
D12-109,Arnav Bhalla,12,2,84.0,english,81.0
D12-110,Rhea Kapoor,12,1,74.0,english,66.0
D12-110,Rhea Kapoor,12,2,79.0,english,71.0
D12-111,Vihaan Reddy,12,1,90.0,english,89.0
D12-111,Vihaan Reddy,12,2,94.0,english,93.0
D12-112,Ananya Sood,12,1,,english,34.0
D12-112,Ananya Sood,12,2,58.0,english,41.0
D12-113,Rohan Mallick,12,1,82.0,english,80.0
D12-113,Rohan Mallick,12,2,87.0,english,85.0
D12-114,Meera Pillai,12,1,85.0,english,83.0
D12-114,Meera Pillai,12,2,91.0,english,88.0
D12-115,Samar Jain,12,1,68.0,english,60.0
D12-115,Samar Jain,12,2,73.0,english,65.0
D12-116,Kiara Nair,12,1,95.0,english,96.0
D12-116,Kiara Nair,12,2,98.0,english,99.0
A12-201,Rohit Mehra,12A,1,84.0,english,83.0
A12-201,Rohit Mehra,12A,2,89.0,english,88.0
A12-202,Ananya Kulkarni,12A,1,76.0,english,73.0
A12-202,Ananya Kulkarni,12A,2,82.0,english,78.0
A12-203,Kabir Nair,12A,1,83.0,english,79.0
A12-203,Kabir Nair,12A,2,88.0,english,84.0
A12-204,Diya Sethi,12A,1,,english,36.0
A12-204,Diya Sethi,12A,2,58.0,english,44.0
A12-205,Arjun Deshmukh,12A,1,91.0,english,91.0
A12-205,Arjun Deshmukh,12A,2,95.0,english,95.0
A12-206,Myra Iyer,12A,1,69.0,english,59.0
A12-206,Myra Iyer,12A,2,74.0,english,64.0
A12-207,Yash Kapoor,12A,1,82.0,english,82.0
